Gss year for this respondent                       ,Respondent id number,Respondents sex,"Region of residence, age 16",Total family income,General happiness,Happiness of marriage
1994,631,Male,W. sou. central,$25000 or more,Very happy,Very happy
1994,632,Female,Pacific,$4000 to 4999,Pretty happy,Not applicable
1994,633,Female,W. sou. central,$8000 to 9999,Pretty happy,Not applicable
1994,634,Male,W. sou. central,$10000 - 14999,Pretty happy,Pretty happy
1994,635,Male,W. sou. central,$25000 or more,Pretty happy,Very happy
1994,636,Female,W. sou. central,$15000 - 19999,Not too happy,Very happy
1994,637,Male,W. sou. central,$25000 or more,Pretty happy,Very happy
1994,638,Female,W. sou. central,$25000 or more,Pretty happy,Pretty happy
1994,639,Male,W. sou. central,$10000 - 14999,Pretty happy,Not applicable
1994,640,Female,W. sou. central,$3000 to 3999,Pretty happy,Not applicable
1994,641,Male,W. sou. central,$25000 or more,Not too happy,Don't know
1994,642,Female,W. sou. central,$25000 or more,Pretty happy,Not applicable
1994,643,Female,W. sou. central,$25000 or more,Pretty happy,Not applicable
1994,644,Female,W. sou. central,Refused,Very happy,Pretty happy
1994,645,Female,W. nor. central,$25000 or more,Pretty happy,Pretty happy
1994,646,Male,W. nor. central,$25000 or more,Very happy,Very happy
1994,647,Male,Foreign,$25000 or more,Pretty happy,Pretty happy
1994,648,Female,South atlantic,No answer,Pretty happy,Not applicable
1994,649,Male,South atlantic,$25000 or more,Pretty happy,Not applicable
1994,650,Female,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1994,651,Female,E. sou. central,$25000 or more,Pretty happy,Not applicable
1994,652,Male,Mountain,Lt $1000,Very happy,Not applicable
1994,653,Male,Foreign,$15000 - 19999,Pretty happy,Not applicable
1994,654,Female,South atlantic,No answer,Pretty happy,Not applicable
1994,655,Female,Middle atlantic,$10000 - 14999,Pretty happy,Not applicable
1994,656,Male,W. nor. central,$10000 - 14999,Pretty happy,Not applicable
1994,657,Female,South atlantic,$25000 or more,Pretty happy,Not applicable
1994,658,Male,South atlantic,$25000 or more,Pretty happy,Very happy
1994,659,Female,New england,$25000 or more,Pretty happy,Not applicable
1994,660,Female,South atlantic,$25000 or more,Pretty happy,Not applicable
1994,661,Female,E. sou. central,$25000 or more,Pretty happy,Not applicable
1994,662,Male,Middle atlantic,$25000 or more,Not too happy,Very happy
1994,663,Female,Foreign,$25000 or more,Pretty happy,Not too happy
1994,664,Male,South atlantic,$15000 - 19999,Pretty happy,Not applicable
1994,665,Female,South atlantic,$25000 or more,Very happy,Not applicable
1994,666,Male,New england,Refused,Very happy,Very happy
1994,667,Female,Middle atlantic,Refused,Very happy,Very happy
1994,668,Male,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1994,669,Female,Mountain,$25000 or more,Very happy,Not applicable
1994,670,Male,Middle atlantic,Lt $1000,Pretty happy,Not applicable
1994,671,Female,E. nor. central,$25000 or more,Very happy,Not applicable
1994,672,Male,Middle atlantic,$20000 - 24999,Very happy,Not applicable
1994,673,Female,W. nor. central,$7000 to 7999,Pretty happy,Not applicable
1994,674,Female,Middle atlantic,$10000 - 14999,Pretty happy,Not applicable
1994,675,Female,Pacific,$25000 or more,Pretty happy,Not applicable
1994,676,Male,Pacific,$25000 or more,Pretty happy,Not applicable
1994,677,Male,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1994,678,Female,E. nor. central,$25000 or more,Very happy,Not applicable
1994,679,Female,E. sou. central,$25000 or more,Not too happy,Not applicable
1994,680,Female,E. nor. central,$4000 to 4999,Pretty happy,Not applicable
1994,681,Female,South atlantic,$25000 or more,Very happy,Very happy
1994,682,Female,Middle atlantic,$8000 to 9999,Pretty happy,Not applicable
1994,683,Male,Foreign,$25000 or more,Pretty happy,Not applicable
1994,684,Female,South atlantic,$25000 or more,Pretty happy,Not applicable
1994,685,Male,Middle atlantic,$25000 or more,Very happy,Very happy
1994,686,Male,South atlantic,$15000 - 19999,Not too happy,Not applicable
1994,687,Male,W. sou. central,$25000 or more,Pretty happy,Not applicable
1994,688,Female,E. nor. central,$25000 or more,Pretty happy,Not applicable
1994,689,Male,W. sou. central,$25000 or more,Pretty happy,Not applicable
1994,690,Female,W. sou. central,$10000 - 14999,Pretty happy,Not applicable
1994,691,Female,W. sou. central,$3000 to 3999,Not too happy,Not applicable
1994,692,Female,W. sou. central,$10000 - 14999,Very happy,Not applicable
1994,693,Female,W. sou. central,No answer,Pretty happy,Very happy
1994,694,Male,Foreign,$6000 to 6999,Very happy,Very happy
1994,695,Male,Foreign,$25000 or more,Pretty happy,Pretty happy
1994,696,Female,W. sou. central,$25000 or more,Pretty happy,Pretty happy
1994,697,Male,Middle atlantic,$25000 or more,Pretty happy,Very happy
1994,698,Female,W. sou. central,$25000 or more,Pretty happy,Pretty happy
1994,699,Female,W. sou. central,$25000 or more,Pretty happy,Very happy
1994,700,Female,W. sou. central,$25000 or more,Not too happy,Very happy
1994,701,Male,W. sou. central,$25000 or more,Pretty happy,Pretty happy
1994,702,Female,Foreign,Refused,Very happy,Very happy
1994,703,Male,W. sou. central,$25000 or more,Pretty happy,Not applicable
1994,704,Female,South atlantic,$25000 or more,Very happy,Very happy
1994,705,Female,Foreign,$25000 or more,Pretty happy,Not too happy
1994,706,Male,W. sou. central,$25000 or more,Pretty happy,Very happy
1994,707,Female,W. sou. central,$25000 or more,Very happy,Very happy
1994,708,Male,Foreign,$25000 or more,Pretty happy,Pretty happy
1994,709,Male,Pacific,$8000 to 9999,Very happy,Very happy
1994,710,Male,W. sou. central,Don't know,Pretty happy,Pretty happy
1994,711,Male,W. sou. central,No answer,No answer,No answer
1994,712,Male,W. sou. central,$25000 or more,Very happy,Very happy
1994,713,Female,W. sou. central,$25000 or more,Pretty happy,Pretty happy
1994,714,Female,W. sou. central,$25000 or more,Not too happy,Pretty happy
1994,715,Female,W. sou. central,$3000 to 3999,Very happy,Not applicable
1994,716,Female,W. sou. central,$10000 - 14999,Not too happy,Not applicable
1994,717,Female,E. sou. central,$25000 or more,Pretty happy,Pretty happy
1994,718,Female,W. sou. central,$15000 - 19999,Pretty happy,Not applicable
1994,719,Male,E. nor. central,$25000 or more,Pretty happy,Very happy
1994,720,Male,W. sou. central,$25000 or more,Pretty happy,Pretty happy
1994,721,Male,Foreign,$25000 or more,Very happy,Very happy
1994,722,Female,W. sou. central,$25000 or more,Pretty happy,Pretty happy
1994,723,Female,E. nor. central,$25000 or more,No answer,No answer
1994,724,Male,W. sou. central,$25000 or more,Very happy,Very happy
1994,725,Male,W. nor. central,$25000 or more,Very happy,Very happy
1994,726,Male,W. sou. central,$25000 or more,Not too happy,Pretty happy
1994,727,Female,Mountain,No answer,Not too happy,Not applicable
1994,728,Female,W. sou. central,$20000 - 24999,Pretty happy,Not applicable
1994,729,Female,Mountain,$1000 to 2999,Pretty happy,Not applicable
1994,730,Female,W. sou. central,$10000 - 14999,Not too happy,Not applicable
1994,731,Female,W. nor. central,Refused,Pretty happy,Not applicable
1994,732,Female,W. sou. central,Refused,Pretty happy,Not applicable
1994,733,Male,W. sou. central,$6000 to 6999,Pretty happy,Not applicable
1994,734,Female,New england,$1000 to 2999,Pretty happy,Not applicable
1994,735,Male,South atlantic,$10000 - 14999,Pretty happy,Very happy
1994,736,Male,Foreign,$6000 to 6999,Not too happy,Pretty happy
1994,737,Female,South atlantic,$10000 - 14999,Pretty happy,Not applicable
1994,738,Male,New england,$25000 or more,Pretty happy,Not applicable
1994,739,Female,New england,$4000 to 4999,Not too happy,Not applicable
1994,740,Female,New england,$25000 or more,Pretty happy,Very happy
1994,741,Female,New england,Refused,Pretty happy,Pretty happy
1994,742,Female,New england,$25000 or more,Very happy,Very happy
1994,743,Female,New england,$25000 or more,Very happy,Very happy
1994,744,Male,New england,$25000 or more,Pretty happy,Very happy
1994,745,Female,New england,$25000 or more,Pretty happy,Not applicable
1994,746,Female,New england,$20000 - 24999,Pretty happy,Pretty happy
1994,747,Female,New england,$25000 or more,Very happy,Very happy
1994,748,Female,New england,Refused,Very happy,Not applicable
1994,749,Female,South atlantic,$10000 - 14999,Pretty happy,Not applicable
1994,750,Female,W. nor. central,Refused,Pretty happy,Very happy
1994,751,Female,South atlantic,$25000 or more,Pretty happy,Pretty happy
1994,752,Female,South atlantic,$25000 or more,Pretty happy,Pretty happy
1994,753,Male,New england,$20000 - 24999,Pretty happy,Not applicable
1994,754,Female,New england,$25000 or more,Very happy,Very happy
1994,755,Female,New england,$25000 or more,Pretty happy,Not applicable
1994,756,Male,New england,$20000 - 24999,Pretty happy,Not applicable
1994,757,Female,New england,$25000 or more,Very happy,Very happy
1994,758,Female,New england,$25000 or more,Pretty happy,Not applicable
1994,759,Female,Middle atlantic,Refused,Pretty happy,Very happy
1994,760,Male,South atlantic,$25000 or more,Pretty happy,Not applicable
1994,761,Male,New england,$25000 or more,Pretty happy,Very happy
1994,762,Male,New england,$25000 or more,Very happy,Very happy
1994,763,Male,New england,$4000 to 4999,Very happy,Not applicable
1994,764,Female,E. nor. central,$25000 or more,Pretty happy,Not applicable
1994,765,Female,New england,$10000 - 14999,Pretty happy,Not applicable
1994,766,Male,New england,$25000 or more,Very happy,Very happy
1994,767,Female,E. nor. central,$25000 or more,Very happy,Very happy
1994,768,Female,New england,$25000 or more,Pretty happy,Pretty happy
1994,769,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1994,770,Female,New england,$25000 or more,Pretty happy,Pretty happy
1994,771,Female,New england,$25000 or more,Pretty happy,Very happy
1994,772,Female,New england,$25000 or more,Not too happy,Not applicable
1994,773,Male,New england,$25000 or more,Pretty happy,Pretty happy
1994,774,Female,W. sou. central,$25000 or more,Pretty happy,Very happy
1994,775,Male,New england,$25000 or more,Pretty happy,Very happy
1994,776,Female,South atlantic,Don't know,Very happy,Not applicable
1994,777,Female,South atlantic,$10000 - 14999,Pretty happy,Not applicable
1994,778,Female,South atlantic,Don't know,Very happy,Very happy
1994,779,Female,Middle atlantic,$20000 - 24999,Pretty happy,Not applicable
1994,780,Male,E. nor. central,$25000 or more,Pretty happy,Pretty happy
1994,781,Female,South atlantic,Don't know,Pretty happy,Pretty happy
1994,782,Male,E. nor. central,$20000 - 24999,Pretty happy,Very happy
1994,783,Male,E. sou. central,Refused,Pretty happy,Very happy
1994,784,Female,New england,$25000 or more,Very happy,Very happy
1994,785,Female,South atlantic,$25000 or more,Not too happy,Very happy
1994,786,Female,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1994,787,Female,E. sou. central,$25000 or more,Very happy,Very happy
1994,788,Female,Foreign,$25000 or more,Very happy,Very happy
1994,789,Male,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1994,790,Male,Middle atlantic,$25000 or more,No answer,Not applicable
1994,791,Female,South atlantic,$25000 or more,Very happy,Very happy
1994,792,Male,South atlantic,$25000 or more,Pretty happy,Not applicable
1994,793,Female,E. nor. central,$25000 or more,Very happy,Very happy
1994,794,Male,South atlantic,$25000 or more,Very happy,Very happy
1994,795,Female,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1994,796,Male,W. nor. central,$20000 - 24999,Very happy,Very happy
1994,797,Male,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1994,798,Male,South atlantic,$25000 or more,Pretty happy,Very happy
1994,799,Female,Pacific,No answer,Don't know,Not applicable
1994,800,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1994,801,Male,E. sou. central,$25000 or more,Very happy,Very happy
1994,802,Female,E. nor. central,$25000 or more,Very happy,Not applicable
1994,803,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1994,804,Female,W. sou. central,$20000 - 24999,Pretty happy,Not applicable
1994,805,Female,Foreign,$25000 or more,Pretty happy,Very happy
1994,806,Male,Foreign,$25000 or more,Pretty happy,Very happy
1994,807,Female,South atlantic,$25000 or more,Pretty happy,Not applicable
1994,808,Male,W. nor. central,$25000 or more,Not too happy,Not applicable
1994,809,Female,W. sou. central,$25000 or more,Pretty happy,Very happy
1994,810,Female,South atlantic,$25000 or more,Not too happy,Not applicable
1994,811,Female,New england,$25000 or more,Pretty happy,Not applicable
1994,812,Male,South atlantic,$25000 or more,Pretty happy,Pretty happy
1994,813,Female,South atlantic,$25000 or more,Very happy,Very happy
1994,814,Male,South atlantic,Don't know,Pretty happy,Not applicable
1994,815,Female,South atlantic,$25000 or more,Pretty happy,Not applicable
1994,816,Female,South atlantic,$25000 or more,Pretty happy,Not applicable
1994,817,Male,South atlantic,$25000 or more,Pretty happy,Not applicable
1994,818,Female,South atlantic,$7000 to 7999,Not too happy,Not applicable
1994,819,Female,South atlantic,$1000 to 2999,Pretty happy,Not applicable
1994,820,Male,South atlantic,Refused,Pretty happy,Not applicable
1994,821,Female,South atlantic,$10000 - 14999,Not too happy,Not applicable
1994,822,Male,South atlantic,Don't know,Pretty happy,Not applicable
1994,823,Male,E. nor. central,$25000 or more,Very happy,Very happy
1994,824,Male,E. nor. central,$25000 or more,Pretty happy,Very happy
1994,825,Female,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1994,826,Female,South atlantic,$25000 or more,Pretty happy,Not applicable
1994,827,Male,E. nor. central,$25000 or more,Very happy,Very happy
1994,828,Female,E. nor. central,$25000 or more,Very happy,Very happy
1994,829,Female,W. nor. central,$25000 or more,Very happy,Very happy
1994,830,Male,South atlantic,$25000 or more,Pretty happy,Not applicable
1994,831,Female,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1994,832,Male,New england,$20000 - 24999,Pretty happy,Very happy
1994,833,Male,South atlantic,$25000 or more,Pretty happy,Not applicable
1994,834,Female,South atlantic,$25000 or more,Very happy,Very happy
1994,835,Male,Middle atlantic,$25000 or more,Pretty happy,Very happy
1994,836,Female,Mountain,$25000 or more,Very happy,Very happy
1994,837,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1994,838,Female,Middle atlantic,$8000 to 9999,Pretty happy,Not applicable
1994,839,Female,Pacific,$25000 or more,Very happy,Very happy
1994,840,Female,South atlantic,$25000 or more,Pretty happy,Very happy
1994,841,Male,South atlantic,$25000 or more,Pretty happy,Not applicable
1994,842,Female,Foreign,$25000 or more,Pretty happy,Pretty happy
1994,843,Female,South atlantic,$10000 - 14999,Pretty happy,Not applicable
1994,844,Male,Foreign,$25000 or more,Not too happy,Not applicable
1994,845,Female,South atlantic,$20000 - 24999,Very happy,Very happy
1994,846,Female,South atlantic,$25000 or more,Pretty happy,Very happy
1994,847,Male,E. nor. central,$10000 - 14999,Pretty happy,Not applicable
1994,848,Female,Foreign,$25000 or more,Pretty happy,Pretty happy
1994,849,Female,South atlantic,Don't know,Very happy,Very happy
1994,850,Female,E. nor. central,Refused,Pretty happy,Pretty happy
1994,851,Male,Foreign,$15000 - 19999,Pretty happy,Very happy
1994,852,Male,E. nor. central,$10000 - 14999,Pretty happy,Not applicable
1994,853,Female,Foreign,$15000 - 19999,Very happy,Not applicable
1994,854,Male,E. nor. central,$20000 - 24999,Very happy,Not applicable
1994,855,Male,South atlantic,$25000 or more,Pretty happy,Very happy
1994,856,Female,E. nor. central,Refused,Pretty happy,Pretty happy
1994,857,Male,South atlantic,$10000 - 14999,Not too happy,Not applicable
1994,858,Male,South atlantic,$5000 to 5999,Pretty happy,Not applicable
1994,859,Male,South atlantic,$1000 to 2999,Not too happy,Not applicable
1994,860,Male,Middle atlantic,Don't know,Pretty happy,Pretty happy
1994,861,Male,South atlantic,Lt $1000,Pretty happy,Not applicable
1994,862,Male,New england,$4000 to 4999,Pretty happy,Not applicable
1994,863,Female,W. nor. central,$8000 to 9999,Pretty happy,Not applicable
1994,864,Female,W. nor. central,$15000 - 19999,Pretty happy,Not applicable
1994,865,Female,W. nor. central,$20000 - 24999,Pretty happy,Very happy
1994,866,Female,E. sou. central,$5000 to 5999,Not too happy,Not applicable
1994,867,Male,South atlantic,$6000 to 6999,Pretty happy,Not applicable
1994,868,Female,W. nor. central,$25000 or more,Pretty happy,Not applicable
1994,869,Female,E. nor. central,$20000 - 24999,Not too happy,Not too happy
1994,870,Female,New england,$25000 or more,Pretty happy,Pretty happy
1994,871,Male,W. sou. central,$10000 - 14999,Very happy,Very happy
1994,872,Female,Middle atlantic,$20000 - 24999,Pretty happy,Very happy
1994,873,Male,W. nor. central,$20000 - 24999,Not too happy,Very happy
1994,874,Female,South atlantic,$25000 or more,Pretty happy,Pretty happy
1994,875,Female,W. sou. central,$15000 - 19999,Not too happy,Not applicable
1994,876,Male,E. nor. central,$20000 - 24999,Pretty happy,Not applicable
1994,877,Female,E. nor. central,$15000 - 19999,Pretty happy,Pretty happy
1994,878,Female,Mountain,$10000 - 14999,Pretty happy,Very happy
1994,879,Female,E. nor. central,$6000 to 6999,Pretty happy,Not applicable
1994,880,Male,E. sou. central,$25000 or more,Pretty happy,Very happy
1994,881,Male,W. nor. central,$25000 or more,Very happy,Very happy
1994,882,Female,W. nor. central,$10000 - 14999,Pretty happy,Pretty happy
1994,883,Female,W. nor. central,$25000 or more,Very happy,Not applicable
1994,884,Female,W. nor. central,$10000 - 14999,Not too happy,Not applicable
1994,885,Female,W. nor. central,$10000 - 14999,Not too happy,Not applicable
1994,886,Female,W. nor. central,$5000 to 5999,Pretty happy,Not applicable
1994,887,Male,W. sou. central,$25000 or more,Pretty happy,Not applicable
1994,888,Female,W. nor. central,$15000 - 19999,Not too happy,Not applicable
1994,889,Female,W. nor. central,$25000 or more,Very happy,Very happy
1994,890,Male,W. nor. central,$25000 or more,Pretty happy,Very happy
1994,891,Male,Middle atlantic,$25000 or more,Pretty happy,Very happy
1994,892,Female,Foreign,$8000 to 9999,Pretty happy,Not applicable
1994,893,Female,W. nor. central,$25000 or more,Very happy,Not applicable
1994,894,Male,W. nor. central,$25000 or more,Pretty happy,Very happy
1994,895,Male,W. nor. central,$25000 or more,Pretty happy,Not applicable
1994,896,Female,W. nor. central,$20000 - 24999,Pretty happy,Not applicable
1994,897,Female,W. nor. central,$25000 or more,Not too happy,Not applicable
1994,898,Female,W. nor. central,$15000 - 19999,Pretty happy,Not applicable
1994,899,Female,W. nor. central,$25000 or more,Pretty happy,Pretty happy
1994,900,Male,W. nor. central,$25000 or more,Pretty happy,Very happy
1994,901,Female,W. nor. central,$25000 or more,Very happy,Very happy
1994,902,Male,W. nor. central,$25000 or more,Pretty happy,Not applicable
1994,903,Female,W. nor. central,$25000 or more,Pretty happy,Very happy
1994,904,Female,W. nor. central,$20000 - 24999,Pretty happy,Not applicable
1994,905,Female,Foreign,$20000 - 24999,Not too happy,Very happy
1994,906,Female,W. nor. central,$25000 or more,Pretty happy,Not applicable
1994,907,Female,W. nor. central,$25000 or more,Pretty happy,Not applicable
1994,908,Female,W. nor. central,$25000 or more,Very happy,Not applicable
1994,909,Male,W. nor. central,$25000 or more,Pretty happy,Not applicable
1994,910,Male,Middle atlantic,$25000 or more,Very happy,Not applicable
1994,911,Female,W. nor. central,$20000 - 24999,Pretty happy,Not applicable
1994,912,Female,W. nor. central,Don't know,Not too happy,Not applicable
1994,913,Female,W. nor. central,$20000 - 24999,Pretty happy,Not applicable
1994,914,Female,W. nor. central,$10000 - 14999,Not too happy,Not applicable
1994,915,Female,W. nor. central,$4000 to 4999,Pretty happy,Not applicable
1994,916,Female,W. nor. central,$25000 or more,Pretty happy,Not applicable
1994,917,Male,E. nor. central,$8000 to 9999,Pretty happy,Not applicable
1994,918,Female,W. nor. central,$7000 to 7999,Pretty happy,Not applicable
1994,919,Female,E. nor. central,$10000 - 14999,Very happy,Not applicable
1994,920,Female,W. nor. central,$25000 or more,Pretty happy,Very happy
1994,921,Male,W. nor. central,$25000 or more,Not too happy,Not applicable
1994,922,Male,W. nor. central,$25000 or more,Very happy,Very happy
1994,923,Female,W. nor. central,$7000 to 7999,Pretty happy,Not applicable
1994,924,Male,W. nor. central,$25000 or more,Pretty happy,Not applicable
1994,925,Male,W. nor. central,$25000 or more,Pretty happy,Not applicable
1994,926,Male,W. nor. central,$1000 to 2999,Pretty happy,Not applicable
1994,927,Male,W. nor. central,$25000 or more,Pretty happy,Pretty happy
1994,928,Male,Pacific,$25000 or more,Pretty happy,Not applicable
1994,929,Male,W. nor. central,$25000 or more,Pretty happy,Pretty happy
1994,930,Female,W. nor. central,$25000 or more,Pretty happy,Not applicable
1994,931,Female,W. nor. central,$25000 or more,Pretty happy,Pretty happy
1994,932,Female,W. nor. central,$25000 or more,Pretty happy,Not too happy
1994,933,Male,W. nor. central,$20000 - 24999,Pretty happy,Very happy
1994,934,Female,Middle atlantic,$25000 or more,Very happy,Pretty happy
1994,935,Male,Mountain,$20000 - 24999,Very happy,Not applicable
1994,936,Female,Mountain,$8000 to 9999,Pretty happy,Not applicable
1994,937,Female,Pacific,$25000 or more,Not too happy,Very happy
1994,938,Female,Pacific,$25000 or more,Very happy,Very happy
1994,939,Male,Pacific,$25000 or more,Very happy,Very happy
1994,940,Male,Mountain,$20000 - 24999,Pretty happy,Pretty happy
1994,941,Female,Mountain,$1000 to 2999,Pretty happy,Not applicable
1994,942,Male,E. nor. central,$25000 or more,Very happy,Pretty happy
1994,943,Female,Mountain,$25000 or more,Very happy,Very happy
1994,944,Female,E. nor. central,Refused,Pretty happy,Pretty happy
1994,945,Female,Pacific,$25000 or more,Pretty happy,Pretty happy
1994,946,Female,Mountain,$25000 or more,No answer,Very happy
1994,947,Female,Pacific,$25000 or more,Very happy,Very happy
1994,948,Female,W. nor. central,$25000 or more,Very happy,Very happy
1994,949,Male,Mountain,$25000 or more,Pretty happy,Pretty happy
1994,950,Male,Middle atlantic,$10000 - 14999,Pretty happy,Very happy
1994,951,Male,New england,$25000 or more,Not too happy,Pretty happy
1994,952,Male,Mountain,$15000 - 19999,Not too happy,Not applicable
1994,953,Male,Middle atlantic,$7000 to 7999,Not too happy,Not applicable
1994,954,Female,E. nor. central,$15000 - 19999,Not too happy,Not applicable
1994,955,Female,Mountain,$3000 to 3999,Pretty happy,Not applicable
1994,956,Male,Mountain,$10000 - 14999,Pretty happy,Not applicable
1994,957,Female,W. nor. central,$3000 to 3999,Pretty happy,Not applicable
1994,958,Male,Middle atlantic,$8000 to 9999,Not too happy,Not applicable
1994,959,Male,W. nor. central,$15000 - 19999,Pretty happy,Not applicable
1994,960,Male,Mountain,$1000 to 2999,Pretty happy,Not applicable
1994,961,Female,Pacific,$25000 or more,Pretty happy,Not applicable
1994,962,Female,Pacific,$15000 - 19999,Pretty happy,Not applicable
1994,963,Female,Pacific,$25000 or more,Pretty happy,Very happy
1994,964,Male,Pacific,Don't know,Pretty happy,Not applicable
1994,965,Female,Pacific,$25000 or more,Pretty happy,Pretty happy
1994,966,Female,Pacific,$25000 or more,Very happy,Very happy
1994,967,Female,Pacific,$10000 - 14999,Very happy,Not applicable
1994,968,Female,Pacific,$15000 - 19999,Pretty happy,Not applicable
1994,969,Male,Pacific,$25000 or more,Pretty happy,Pretty happy
1994,970,Female,Pacific,$25000 or more,Pretty happy,Not applicable
1994,971,Female,Pacific,$15000 - 19999,Pretty happy,Not applicable
1994,972,Female,Foreign,$20000 - 24999,Not too happy,Not applicable
1994,973,Male,Foreign,$8000 to 9999,Pretty happy,Not applicable
1994,974,Female,Foreign,$10000 - 14999,Not too happy,Not applicable
1994,975,Female,Pacific,$7000 to 7999,Pretty happy,Not applicable
1994,976,Female,Pacific,$10000 - 14999,Pretty happy,Pretty happy
1994,977,Female,Pacific,Lt $1000,Pretty happy,Not applicable
1994,978,Male,Pacific,$25000 or more,Pretty happy,Not applicable
1994,979,Female,Mountain,$25000 or more,Very happy,Not applicable
1994,980,Female,Pacific,Don't know,Pretty happy,Not applicable
1994,981,Male,Pacific,$6000 to 6999,Not too happy,Not applicable
1994,982,Female,South atlantic,Lt $1000,Very happy,Not applicable
1994,983,Male,Mountain,$20000 - 24999,Pretty happy,Not applicable
1994,984,Female,Pacific,$25000 or more,Very happy,Not applicable
1994,985,Female,Middle atlantic,$25000 or more,Pretty happy,Not too happy
1994,986,Male,E. nor. central,$25000 or more,Pretty happy,Very happy
1994,987,Female,Pacific,$20000 - 24999,Pretty happy,Not applicable
1994,988,Female,Pacific,$15000 - 19999,Not too happy,Not applicable
1994,989,Male,Pacific,No answer,Pretty happy,Not applicable
1994,990,Female,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1994,991,Female,E. nor. central,$25000 or more,Pretty happy,Not applicable
1994,992,Male,South atlantic,$25000 or more,Very happy,Very happy
1994,993,Male,South atlantic,Refused,Very happy,Not applicable
1994,994,Female,South atlantic,Don't know,Very happy,Very happy
1994,995,Female,South atlantic,No answer,Not too happy,Not applicable
1994,996,Male,South atlantic,Refused,Pretty happy,Not applicable
1994,997,Male,South atlantic,$6000 to 6999,Not too happy,Not applicable
1994,998,Female,South atlantic,$15000 - 19999,Not too happy,Not applicable
1994,999,Male,South atlantic,$25000 or more,Not too happy,Pretty happy
1994,1000,Male,South atlantic,$20000 - 24999,Not too happy,Not applicable
1994,1001,Male,South atlantic,$25000 or more,Very happy,Very happy
1994,1002,Female,South atlantic,Refused,Not too happy,Not applicable
1994,1003,Male,South atlantic,Refused,Pretty happy,Not applicable
1994,1004,Male,South atlantic,$10000 - 14999,Pretty happy,Pretty happy
1994,1005,Female,South atlantic,$25000 or more,Pretty happy,Very happy
1994,1006,Female,Middle atlantic,$15000 - 19999,Pretty happy,Pretty happy
1994,1007,Male,South atlantic,$20000 - 24999,Pretty happy,Not applicable
1994,1008,Female,South atlantic,$8000 to 9999,Pretty happy,Not applicable
1994,1009,Female,South atlantic,$25000 or more,Very happy,Not applicable
1994,1010,Male,South atlantic,$25000 or more,Very happy,Very happy
1994,1011,Male,Middle atlantic,$25000 or more,Very happy,Very happy
1994,1012,Female,South atlantic,$25000 or more,Very happy,Very happy
1994,1013,Male,South atlantic,$25000 or more,Very happy,Not applicable
1994,1014,Female,E. nor. central,$25000 or more,Pretty happy,Pretty happy
1994,1015,Male,South atlantic,Refused,Pretty happy,Very happy
1994,1016,Female,South atlantic,$25000 or more,Pretty happy,Very happy
1994,1017,Male,South atlantic,$25000 or more,Pretty happy,Very happy
1994,1018,Male,South atlantic,Refused,Pretty happy,Very happy
1994,1019,Male,Middle atlantic,$15000 - 19999,Very happy,Very happy
1994,1020,Female,Middle atlantic,$15000 - 19999,Not too happy,Not applicable
1994,1021,Female,Middle atlantic,$4000 to 4999,Pretty happy,Not applicable
1994,1022,Female,Middle atlantic,$10000 - 14999,Pretty happy,Not applicable
1994,1023,Female,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1994,1024,Male,Middle atlantic,Don't know,Pretty happy,Not applicable
1994,1025,Female,Middle atlantic,Don't know,Pretty happy,Not applicable
1994,1026,Female,Middle atlantic,$15000 - 19999,Pretty happy,Not applicable
1994,1027,Female,Middle atlantic,$25000 or more,Very happy,Not applicable
1994,1028,Male,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1994,1029,Female,Middle atlantic,$10000 - 14999,Not too happy,Not applicable
1994,1030,Male,Middle atlantic,$25000 or more,Very happy,Not applicable
1994,1031,Male,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1994,1032,Female,Middle atlantic,$10000 - 14999,Very happy,Very happy
1994,1033,Male,Middle atlantic,$8000 to 9999,Pretty happy,Very happy
1994,1034,Female,Middle atlantic,$25000 or more,Pretty happy,Very happy
1994,1035,Female,Middle atlantic,$6000 to 6999,Not too happy,Not applicable
1994,1036,Female,Middle atlantic,$25000 or more,Pretty happy,Very happy
1994,1037,Female,Foreign,$7000 to 7999,Pretty happy,Not applicable
1994,1038,Male,Middle atlantic,$25000 or more,Very happy,Pretty happy
1994,1039,Male,Middle atlantic,Refused,Not too happy,Very happy
1994,1040,Male,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1994,1041,Male,Middle atlantic,Refused,Pretty happy,Not applicable
